Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de profesional;Sí o no;Total
Hombres;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;Sí;16,21
Hombres;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;No;83,79
Hombres;Total Nacional;14 Murcia, Región de;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;14 Murcia, Región de;Fisioterapeuta;Sí;21,32
Hombres;Total Nacional;14 Murcia, Región de;Fisioterapeuta;No;78,68
Hombres;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,21
Hombres;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;No;95,79
Hombres;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;Sí;11,10
Hombres;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;No;88,90
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;Sí;20,26
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;No;79,74
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,64
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;No;96,36
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;Sí;14,31
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;No;85,69
Hombres;Total Nacional;16 País Vasco;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;16 País Vasco;Fisioterapeuta;Sí;17,26
Hombres;Total Nacional;16 País Vasco;Fisioterapeuta;No;82,74
Hombres;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,49
Hombres;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;No;96,51
Hombres;Total Nacional;16 País Vasco;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;16 País Vasco;Enfermero/a o matrona;Sí;15,16
Hombres;Total Nacional;16 País Vasco;Enfermero/a o matrona;No;84,84
Hombres;Total Nacional;17 Rioja, La;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;17 Rioja, La;Fisioterapeuta;Sí;12,71
Hombres;Total Nacional;17 Rioja, La;Fisioterapeuta;No;87,29
Hombres;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,53
Hombres;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;No;96,47
Hombres;Total Nacional;17 Rioja, La;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;17 Rioja, La;Enfermero/a o matrona;Sí;12,71
Hombres;Total Nacional;17 Rioja, La;Enfermero/a o matrona;No;87,29
Hombres;Total Nacional;18 Ceuta;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;18 Ceuta;Fisioterapeuta;Sí;16,77
Hombres;Total Nacional;18 Ceuta;Fisioterapeuta;No;83,23
Hombres;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;Sí;1,29
Hombres;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;No;98,71
Hombres;Total Nacional;18 Ceuta;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;18 Ceuta;Enfermero/a o matrona;Sí;48,33
Hombres;Total Nacional;18 Ceuta;Enfermero/a o matrona;No;51,67
Hombres;Total Nacional;19 Melilla;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;19 Melilla;Fisioterapeuta;Sí;8,34
Hombres;Total Nacional;19 Melilla;Fisioterapeuta;No;91,66
Hombres;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;Sí;0,00
Hombres;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;No;100,00
Hombres;Total Nacional;19 Melilla;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;19 Melilla;Enfermero/a o matrona;Sí;0,34
Hombres;Total Nacional;19 Melilla;Enfermero/a o matrona;No;99,66
Mujeres;Total Nacional;;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;;Fisioterapeuta;Sí;18,55
Mujeres;Total Nacional;;Fisioterapeuta;No;81,45
Mujeres;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,49
Mujeres;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;No;94,51
Mujeres;Total Nacional;;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;;Enfermero/a o matrona;Sí;17,61
Mujeres;Total Nacional;;Enfermero/a o matrona;No;82,39
Mujeres;Total Nacional;01 Andalucía;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;01 Andalucía;Fisioterapeuta;Sí;11,87
Mujeres;Total Nacional;01 Andalucía;Fisioterapeuta;No;88,13
Mujeres;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,55
Mujeres;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;No;97,45
Mujeres;Total Nacional;01 Andalucía;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;01 Andalucía;Enfermero/a o matrona;Sí;7,17
Mujeres;Total Nacional;01 Andalucía;Enfermero/a o matrona;No;92,83
Mujeres;Total Nacional;02 Aragón;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;02 Aragón;Fisioterapeuta;Sí;18,52
Mujeres;Total Nacional;02 Aragón;Fisioterapeuta;No;81,48
Mujeres;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,26
Mujeres;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;No;95,74
Mujeres;Total Nacional;02 Aragón;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;02 Aragón;Enfermero/a o matrona;Sí;11,85
Mujeres;Total Nacional;02 Aragón;Enfermero/a o matrona;No;88,15
Mujeres;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;Sí;26,76
Mujeres;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;No;73,24
Mujeres;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,19
Mujeres;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;No;93,81
Mujeres;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;Sí;16,00
Mujeres;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;No;84,00
Mujeres;Total Nacional;04 Balears, Illes;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;04 Balears, Illes;Fisioterapeuta;Sí;13,73
Mujeres;Total Nacional;04 Balears, Illes;Fisioterapeuta;No;86,27
Mujeres;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,40
Mujeres;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;No;96,60
Mujeres;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;Sí;6,58
Mujeres;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;No;93,42
Mujeres;Total Nacional;05 Canarias;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;05 Canarias;Fisioterapeuta;Sí;17,26
Mujeres;Total Nacional;05 Canarias;Fisioterapeuta;No;82,74
Mujeres;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,14
Mujeres;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;No;94,86
Mujeres;Total Nacional;05 Canarias;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;05 Canarias;Enfermero/a o matrona;Sí;17,83
Mujeres;Total Nacional;05 Canarias;Enfermero/a o matrona;No;82,17
Mujeres;Total Nacional;06 Cantabria;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;06 Cantabria;Fisioterapeuta;Sí;13,51
Mujeres;Total Nacional;06 Cantabria;Fisioterapeuta;No;86,49
Mujeres;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,47
Mujeres;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;No;97,53
Mujeres;Total Nacional;06 Cantabria;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;06 Cantabria;Enfermero/a o matrona;Sí;4,22
Mujeres;Total Nacional;06 Cantabria;Enfermero/a o matrona;No;95,78
Mujeres;Total Nacional;07 Castilla y León;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;07 Castilla y León;Fisioterapeuta;Sí;26,62
Mujeres;Total Nacional;07 Castilla y León;Fisioterapeuta;No;73,38
Mujeres;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,88
Mujeres;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;No;94,12
Mujeres;Total Nacional;07 Castilla y León;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;07 Castilla y León;Enfermero/a o matrona;Sí;20,20
Mujeres;Total Nacional;07 Castilla y León;Enfermero/a o matrona;No;79,80
Mujeres;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;Sí;21,16
Mujeres;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;No;78,84
Mujeres;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,80
Mujeres;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;No;94,20
Mujeres;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;Sí;34,28
Mujeres;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;No;65,72
Mujeres;Total Nacional;09 Cataluña;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;09 Cataluña;Fisioterapeuta;Sí;16,08
Mujeres;Total Nacional;09 Cataluña;Fisioterapeuta;No;83,92
Mujeres;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,37
Mujeres;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;No;93,63
Mujeres;Total Nacional;09 Cataluña;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;09 Cataluña;Enfermero/a o matrona;Sí;22,78
Mujeres;Total Nacional;09 Cataluña;Enfermero/a o matrona;No;77,22
Mujeres;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;Sí;19,97
Mujeres;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;No;80,03
Mujeres;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,70
Mujeres;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;No;93,30
Mujeres;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;Sí;19,30
Mujeres;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;No;80,70
Mujeres;Total Nacional;11 Extremadura;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;11 Extremadura;Fisioterapeuta;Sí;16,07
Mujeres;Total Nacional;11 Extremadura;Fisioterapeuta;No;83,93
Mujeres;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,63
Mujeres;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;No;96,37
Mujeres;Total Nacional;11 Extremadura;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;11 Extremadura;Enfermero/a o matrona;Sí;9,60
Mujeres;Total Nacional;11 Extremadura;Enfermero/a o matrona;No;90,40
Mujeres;Total Nacional;12 Galicia;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;12 Galicia;Fisioterapeuta;Sí;28,71
Mujeres;Total Nacional;12 Galicia;Fisioterapeuta;No;71,29
Mujeres;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;Sí;8,52
Mujeres;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;No;91,48
Mujeres;Total Nacional;12 Galicia;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;12 Galicia;Enfermero/a o matrona;Sí;24,24
Mujeres;Total Nacional;12 Galicia;Enfermero/a o matrona;No;75,76
Mujeres;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;Sí;18,77
Mujeres;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;No;81,23
Mujeres;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,60
Mujeres;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;No;93,40
Mujeres;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;Sí;19,22
Mujeres;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;No;80,78
Mujeres;Total Nacional;14 Murcia, Región de;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;14 Murcia, Región de;Fisioterapeuta;Sí;24,34
Mujeres;Total Nacional;14 Murcia, Región de;Fisioterapeuta;No;75,66
Mujeres;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,61
Mujeres;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;No;93,39
Mujeres;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;Sí;20,02
Mujeres;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;No;79,98
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;Sí;22,20
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;No;77,80
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,69
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;No;95,31
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;Sí;19,64
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;No;80,36
Mujeres;Total Nacional;16 País Vasco;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;16 País Vasco;Fisioterapeuta;Sí;21,99
Mujeres;Total Nacional;16 País Vasco;Fisioterapeuta;No;78,01
Mujeres;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,00
Mujeres;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;No;94,00
Mujeres;Total Nacional;16 País Vasco;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;16 País Vasco;Enfermero/a o matrona;Sí;19,15
Mujeres;Total Nacional;16 País Vasco;Enfermero/a o matrona;No;80,85
Mujeres;Total Nacional;17 Rioja, La;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;17 Rioja, La;Fisioterapeuta;Sí;19,06
Mujeres;Total Nacional;17 Rioja, La;Fisioterapeuta;No;80,94
Mujeres;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,50
Mujeres;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;No;94,50
Mujeres;Total Nacional;17 Rioja, La;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;17 Rioja, La;Enfermero/a o matrona;Sí;15,76
Mujeres;Total Nacional;17 Rioja, La;Enfermero/a o matrona;No;84,24
Mujeres;Total Nacional;18 Ceuta;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;18 Ceuta;Fisioterapeuta;Sí;18,60
Mujeres;Total Nacional;18 Ceuta;Fisioterapeuta;No;81,40
Mujeres;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,37
Mujeres;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;No;93,63
Mujeres;Total Nacional;18 Ceuta;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;18 Ceuta;Enfermero/a o matrona;Sí;56,02
Mujeres;Total Nacional;18 Ceuta;Enfermero/a o matrona;No;43,98
Mujeres;Total Nacional;19 Melilla;Fisioterapeuta;TOTAL;100,00
Mujeres;Total Nacional;19 Melilla;Fisioterapeuta;Sí;11,90
Mujeres;Total Nacional;19 Melilla;Fisioterapeuta;No;88,10
Mujeres;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Mujeres;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,83
Mujeres;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;No;96,17
Mujeres;Total Nacional;19 Melilla;Enfermero/a o matrona;TOTAL;100,00
Mujeres;Total Nacional;19 Melilla;Enfermero/a o matrona;Sí;0,17
Mujeres;Total Nacional;19 Melilla;Enfermero/a o matrona;No;99,83
